"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l";"cena";"2006";2,44;"zł";"";
0000000;"POLSKA";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l";"cena";"2007";2,41;"zł";"";
0000000;"POLSKA";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l";"cena";"2008";2,81;"zł";"";
0000000;"POLSKA";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l";"cena";"2009";2,76;"zł";"";
0000000;"POLSKA";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l";"cena";"2010";2,70;"zł";"";
0000000;"POLSKA";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l";"cena";"2011";2,71;"zł";"";
0000000;"POLSKA";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l";"cena";"2012";2,80;"zł";"";
0000000;"POLSKA";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l";"cena";"2013";2,72;"zł";"";
0000000;"POLSKA";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l";"cena";"2014";2,98;"zł";"";
0000000;"POLSKA";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l";"cena";"2015";2,95;"zł";"";
0000000;"POLSKA";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l";"cena";"2016";2,80;"zł";"";
0000000;"POLSKA";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l";"cena";"2017";2,79;"zł";"";
0000000;"POLSKA";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l";"cena";"2018";2,78;"zł";"";
0000000;"POLSKA";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l";"cena";"2019";2,71;"zł";"";
0000000;"POLSKA";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l";"cena";"2006";1,56;"zł";"";
0000000;"POLSKA";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l";"cena";"2007";1,59;"zł";"";
0000000;"POLSKA";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l";"cena";"2008";2,00;"zł";"";
0000000;"POLSKA";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l";"cena";"2009";2,05;"zł";"";
0000000;"POLSKA";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l";"cena";"2010";2,05;"zł";"";
0000000;"POLSKA";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l";"cena";"2011";2,08;"zł";"";
0000000;"POLSKA";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l";"cena";"2012";2,36;"zł";"";
0000000;"POLSKA";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l";"cena";"2013";2,39;"zł";"";
0000000;"POLSKA";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l";"cena";"2014";2,60;"zł";"";
0000000;"POLSKA";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l";"cena";"2015";2,50;"zł";"";
0000000;"POLSKA";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l";"cena";"2016";2,36;"zł";"";
0000000;"POLSKA";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l";"cena";"2017";2,36;"zł";"";
0000000;"POLSKA";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l";"cena";"2018";2,49;"zł";"";
0000000;"POLSKA";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l";"cena";"2019";2,50;"zł";"";
0000000;"POLSKA";"styczeń";"podkoszulek męski bawełniany, bez rękawa";"cena";"2006";;"zł";"";
0000000;"POLSKA";"styczeń";"podkoszulek męski bawełniany, bez rękawa";"cena";"2007";;"zł";"";
0000000;"POLSKA";"styczeń";"podkoszulek męski bawełniany, bez rękawa";"cena";"2008";;"zł";"";
0000000;"POLSKA";"styczeń";"podkoszulek męski bawełniany, bez rękawa";"cena";"2009";;"zł";"";
0000000;"POLSKA";"styczeń";"podkoszulek męski bawełniany, bez rękawa";"cena";"2010";;"zł";"";
0000000;"POLSKA";"styczeń";"podkoszulek męski bawełniany, bez rękawa";"cena";"2011";;"zł";"";
0000000;"POLSKA";"styczeń";"podkoszulek męski bawełniany, bez rękawa";"cena";"2012";;"zł";"";
0000000;"POLSKA";"styczeń";"podkoszulek męski bawełniany, bez rękawa";"cena";"2013";;"zł";"";
0000000;"POLSKA";"styczeń";"podkoszulek męski bawełniany, bez rękawa";"cena";"2014";;"zł";"";
0000000;"POLSKA";"styczeń";"podkoszulek męski bawełniany, bez rękawa";"cena";"2015";;"zł";"";
0000000;"POLSKA";"styczeń";"podkoszulek męski bawełniany, bez rękawa";"cena";"2016";;"zł";"";
0000000;"POLSKA";"styczeń";"podkoszulek męski bawełniany, bez rękawa";"cena";"2017";;"zł";"";
0000000;"POLSKA";"styczeń";"podkoszulek męski bawełniany, bez rękawa";"cena";"2018";25,92;"zł";"";
0000000;"POLSKA";"styczeń";"podkoszulek męski bawełniany, bez rękawa";"cena";"2019";24,79;"zł";"";
0000000;"POLSKA";"styczeń";"półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2006";146,91;"zł";"";
0000000;"POLSKA";"styczeń";"półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2007";147,81;"zł";"";
0000000;"POLSKA";"styczeń";"półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2008";151,97;"zł";"";
0000000;"POLSKA";"styczeń";"półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2009";156,44;"zł";"";
0000000;"POLSKA";"styczeń";"półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2010";158,29;"zł";"";
0000000;"POLSKA";"styczeń";"półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2011";163,92;"zł";"";
0000000;"POLSKA";"styczeń";"półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2012";172,41;"zł";"";
0000000;"POLSKA";"styczeń";"półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2013";181,24;"zł";"";
0000000;"POLSKA";"styczeń";"półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2014";182,79;"zł";"";
0000000;"POLSKA";"styczeń";"półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2015";191,48;"zł";"";
0000000;"POLSKA";"styczeń";"półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2016";196,98;"zł";"";
0000000;"POLSKA";"styczeń";"półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2017";198,02;"zł";"";
0000000;"POLSKA";"styczeń";"półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2018";201,79;"zł";"";
0000000;"POLSKA";"styczeń";"półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2019";205,21;"zł";"";
0000000;"POLSKA";"styczeń";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2006";140,01;"zł";"";
0000000;"POLSKA";"styczeń";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2007";140,66;"zł";"";
0000000;"POLSKA";"styczeń";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2008";145,60;"zł";"";
0000000;"POLSKA";"styczeń";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2009";150,87;"zł";"";
0000000;"POLSKA";"styczeń";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2010";155,46;"zł";"";
0000000;"POLSKA";"styczeń";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2011";158,08;"zł";"";
0000000;"POLSKA";"styczeń";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2012";165,72;"zł";"";
0000000;"POLSKA";"styczeń";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2013";170,85;"zł";"";
0000000;"POLSKA";"styczeń";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2014";174,77;"zł";"";
0000000;"POLSKA";"styczeń";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2015";182,39;"zł";"";
0000000;"POLSKA";"styczeń";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2016";186,49;"zł";"";
0000000;"POLSKA";"styczeń";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2017";188,61;"zł";"";
0000000;"POLSKA";"styczeń";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2018";191,07;"zł";"";
0000000;"POLSKA";"styczeń";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2019";190,58;"zł";"";
0000000;"POLSKA";"styczeń";"wizyta u lekarza specjalisty";"cena";"2006";51,72;"zł";"";
0000000;"POLSKA";"styczeń";"wizyta u lekarza specjalisty";"cena";"2007";53,19;"zł";"";
0000000;"POLSKA";"styczeń";"wizyta u lekarza specjalisty";"cena";"2008";56,99;"zł";"";
0000000;"POLSKA";"styczeń";"wizyta u lekarza specjalisty";"cena";"2009";61,88;"zł";"";
0000000;"POLSKA";"styczeń";"wizyta u lekarza specjalisty";"cena";"2010";66,43;"zł";"";
0000000;"POLSKA";"styczeń";"wizyta u lekarza specjalisty";"cena";"2011";70,90;"zł";"";
0000000;"POLSKA";"styczeń";"wizyta u lekarza specjalisty";"cena";"2012";75,55;"zł";"";
0000000;"POLSKA";"styczeń";"wizyta u lekarza specjalisty";"cena";"2013";80,34;"zł";"";
0000000;"POLSKA";"styczeń";"wizyta u lekarza specjalisty";"cena";"2014";85,07;"zł";"";
0000000;"POLSKA";"styczeń";"wizyta u lekarza specjalisty";"cena";"2015";88,00;"zł";"";
0000000;"POLSKA";"styczeń";"wizyta u lekarza specjalisty";"cena";"2016";91,37;"zł";"";
0000000;"POLSKA";"styczeń";"wizyta u lekarza specjalisty";"cena";"2017";95,42;"zł";"";
0000000;"POLSKA";"styczeń";"wizyta u lekarza specjalisty";"cena";"2018";101,81;"zł";"";
0000000;"POLSKA";"styczeń";"wizyta u lekarza specjalisty";"cena";"2019";107,51;"zł";"";
0000000;"POLSKA";"styczeń";"olej napędowy - za 1l";"cena";"2006";;"zł";"";
0000000;"POLSKA";"styczeń";"olej napędowy - za 1l";"cena";"2007";;"zł";"";
0000000;"POLSKA";"styczeń";"olej napędowy - za 1l";"cena";"2008";;"zł";"";
0000000;"POLSKA";"styczeń";"olej napędowy - za 1l";"cena";"2009";;"zł";"";
0000000;"POLSKA";"styczeń";"olej napędowy - za 1l";"cena";"2010";;"zł";"";
0000000;"POLSKA";"styczeń";"olej napędowy - za 1l";"cena";"2011";;"zł";"";
0000000;"POLSKA";"styczeń";"olej napędowy - za 1l";"cena";"2012";;"zł";"";
0000000;"POLSKA";"styczeń";"olej napędowy - za 1l";"cena";"2013";5,54;"zł";"";
0000000;"POLSKA";"styczeń";"olej napędowy - za 1l";"cena";"2014";5,39;"zł";"";
0000000;"POLSKA";"styczeń";"olej napędowy - za 1l";"cena";"2015";4,51;"zł";"";
0000000;"POLSKA";"styczeń";"olej napędowy - za 1l";"cena";"2016";3,94;"zł";"";
0000000;"POLSKA";"styczeń";"olej napędowy - za 1l";"cena";"2017";4,69;"zł";"";
0000000;"POLSKA";"styczeń";"olej napędowy - za 1l";"cena";"2018";4,65;"zł";"";
0000000;"POLSKA";"styczeń";"olej napędowy - za 1l";"cena";"2019";5,08;"zł";"";
0000000;"POLSKA";"luty";"bułka pszenna - za 50g";"cena";"2006";0,29;"zł";"";
0000000;"POLSKA";"luty";"bułka pszenna - za 50g";"cena";"2007";0,33;"zł";"";
0000000;"POLSKA";"luty";"bułka pszenna - za 50g";"cena";"2008";0,38;"zł";"";
0000000;"POLSKA";"luty";"bułka pszenna - za 50g";"cena";"2009";0,40;"zł";"";
0000000;"POLSKA";"luty";"bułka pszenna - za 50g";"cena";"2010";0,39;"zł";"";
0000000;"POLSKA";"luty";"bułka pszenna - za 50g";"cena";"2011";0,43;"zł";"";
0000000;"POLSKA";"luty";"bułka pszenna - za 50g";"cena";"2012";0,44;"zł";"";
0000000;"POLSKA";"luty";"bułka pszenna - za 50g";"cena";"2013";0,43;"zł";"";
0000000;"POLSKA";"luty";"bułka pszenna - za 50g";"cena";"2014";0,43;"zł";"";
0000000;"POLSKA";"luty";"bułka pszenna - za 50g";"cena";"2015";0,42;"zł";"";
0000000;"POLSKA";"luty";"bułka pszenna - za 50g";"cena";"2016";0,41;"zł";"";
0000000;"POLSKA";"luty";"bułka pszenna - za 50g";"cena";"2017";0,41;"zł";"";
0000000;"POLSKA";"luty";"bułka pszenna - za 50g";"cena";"2018";0,43;"zł";"";
0000000;"POLSKA";"luty";"bułka pszenna - za 50g";"cena";"2019";0,48;"zł";"";
0000000;"POLSKA";"luty";"kurczęta patroszone - za 1kg";"cena";"2006";4,71;"zł";"";
0000000;"POLSKA";"luty";"kurczęta patroszone - za 1kg";"cena";"2007";5,97;"zł";"";
0000000;"POLSKA";"luty";"kurczęta patroszone - za 1kg";"cena";"2008";6,02;"zł";"";
0000000;"POLSKA";"luty";"kurczęta patroszone - za 1kg";"cena";"2009";6,72;"zł";"";
0000000;"POLSKA";"luty";"kurczęta patroszone - za 1kg";"cena";"2010";6,08;"zł";"";
0000000;"POLSKA";"luty";"kurczęta patroszone - za 1kg";"cena";"2011";6,61;"zł";"";
0000000;"POLSKA";"luty";"kurczęta patroszone - za 1kg";"cena";"2012";7,42;"zł";"";
0000000;"POLSKA";"luty";"kurczęta patroszone - za 1kg";"cena";"2013";7,29;"zł";"";
0000000;"POLSKA";"luty";"kurczęta patroszone - za 1kg";"cena";"2014";7,31;"zł";"";
0000000;"POLSKA";"luty";"kurczęta patroszone - za 1kg";"cena";"2015";6,91;"zł";"";
0000000;"POLSKA";"luty";"kurczęta patroszone - za 1kg";"cena";"2016";6,64;"zł";"";
0000000;"POLSKA";"luty";"kurczęta patroszone - za 1kg";"cena";"2017";6,66;"zł";"";
0000000;"POLSKA";"luty";"kurczęta patroszone - za 1kg";"cena";"2018";7,16;"zł";"";
0000000;"POLSKA";"luty";"kurczęta patroszone - za 1kg";"cena";"2019";7,05;"zł";"";
0000000;"POLSKA";"luty";"kiełbasa wędzona - za 1kg";"cena";"2006";11,80;"zł";"";
0000000;"POLSKA";"luty";"kiełbasa wędzona - za 1kg";"cena";"2007";11,58;"zł";"";
0000000;"POLSKA";"luty";"kiełbasa wędzona - za 1kg";"cena";"2008";12,13;"zł";"";
0000000;"POLSKA";"luty";"kiełbasa wędzona - za 1kg";"cena";"2009";13,15;"zł";"";
0000000;"POLSKA";"luty";"kiełbasa wędzona - za 1kg";"cena";"2010";14,10;"zł";"";
0000000;"POLSKA";"luty";"kiełbasa wędzona - za 1kg";"cena";"2011";14,01;"zł";"";
0000000;"POLSKA";"luty";"kiełbasa wędzona - za 1kg";"cena";"2012";15,42;"zł";"";
0000000;"POLSKA";"luty";"kiełbasa wędzona - za 1kg";"cena";"2013";16,04;"zł";"";
0000000;"POLSKA";"luty";"kiełbasa wędzona - za 1kg";"cena";"2014";15,83;"zł";"";
0000000;"POLSKA";"luty";"kiełbasa wędzona - za 1kg";"cena";"2015";15,50;"zł";"";
0000000;"POLSKA";"luty";"kiełbasa wędzona - za 1kg";"cena";"2016";15,27;"zł";"";
0000000;"POLSKA";"luty";"kiełbasa wędzona - za 1kg";"cena";"2017";;"zł";"";
0000000;"POLSKA";"luty";"kiełbasa wędzona - za 1kg";"cena";"2018";;"zł";"";
0000000;"POLSKA";"luty";"kiełbasa wędzona - za 1kg";"cena";"2019";;"zł";"";
0000000;"POLSKA";"luty";"mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l";"cena";"2006";2,43;"zł";"";
0000000;"POLSKA";"luty";"mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l";"cena";"2007";2,40;"zł";"";
0000000;"POLSKA";"luty";"mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l";"cena";"2008";2,83;"zł";"";
0000000;"POLSKA";"luty";"mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l";"cena";"2009";2,75;"zł";"";
0000000;"POLSKA";"luty";"mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l";"cena";"2010";2,70;"zł";"";
0000000;"POLSKA";"luty";"mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l";"cena";"2011";2,69;"zł";"";
0000000;"POLSKA";"luty";"mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l";"cena";"2012";2,79;"zł";"";
0000000;"POLSKA";"luty";"mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l";"cena";"2013";2,76;"zł";"";
0000000;"POLSKA";"luty";"mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l";"cena";"2014";3,01;"zł";"";
0000000;"POLSKA";"luty";"mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l";"cena";"2015";2,94;"zł";"";
0000000;"POLSKA";"luty";"mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l";"cena";"2016";2,76;"zł";"";
0000000;"POLSKA";"luty";"mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l";"cena";"2017";2,78;"zł";"";
0000000;"POLSKA";"luty";"mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l";"cena";"2018";2,77;"zł";"";
0000000;"POLSKA";"luty";"mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l";"cena";"2019";2,71;"zł";"";
0000000;"POLSKA";"luty";"mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l";"cena";"2006";1,56;"zł";"";
0000000;"POLSKA";"luty";"mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l";"cena";"2007";1,60;"zł";"";
0000000;"POLSKA";"luty";"mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l";"cena";"2008";2,02;"zł";"";
0000000;"POLSKA";"luty";"mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l";"cena";"2009";2,05;"zł";"";
0000000;"POLSKA";"luty";"mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l";"cena";"2010";2,04;"zł";"";
0000000;"POLSKA";"luty";"mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l";"cena";"2011";2,11;"zł";"";
0000000;"POLSKA";"luty";"mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l";"cena";"2012";2,37;"zł";"";
0000000;"POLSKA";"luty";"mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l";"cena";"2013";2,38;"zł";"";
0000000;"POLSKA";"luty";"mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l";"cena";"2014";2,62;"zł";"";
0000000;"POLSKA";"luty";"mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l";"cena";"2015";2,51;"zł";"";
0000000;"POLSKA";"luty";"mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l";"cena";"2016";2,35;"zł";"";
0000000;"POLSKA";"luty";"mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l";"cena";"2017";2,37;"zł";"";
0000000;"POLSKA";"luty";"mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l";"cena";"2018";2,48;"zł";"";
0000000;"POLSKA";"luty";"mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l";"cena";"2019";2,50;"zł";"";
0000000;"POLSKA";"luty";"podkoszulek męski bawełniany, bez rękawa";"cena";"2006";;"zł";"";
0000000;"POLSKA";"luty";"podkoszulek męski bawełniany, bez rękawa";"cena";"2007";;"zł";"";
0000000;"POLSKA";"luty";"podkoszulek męski bawełniany, bez rękawa";"cena";"2008";;"zł";"";
0000000;"POLSKA";"luty";"podkoszulek męski bawełniany, bez rękawa";"cena";"2009";;"zł";"";
0000000;"POLSKA";"luty";"podkoszulek męski bawełniany, bez rękawa";"cena";"2010";;"zł";"";
0000000;"POLSKA";"luty";"podkoszulek męski bawełniany, bez rękawa";"cena";"2011";;"zł";"";
0000000;"POLSKA";"luty";"podkoszulek męski bawełniany, bez rękawa";"cena";"2012";;"zł";"";
0000000;"POLSKA";"luty";"podkoszulek męski bawełniany, bez rękawa";"cena";"2013";;"zł";"";
0000000;"POLSKA";"luty";"podkoszulek męski bawełniany, bez rękawa";"cena";"2014";;"zł";"";
0000000;"POLSKA";"luty";"podkoszulek męski bawełniany, bez rękawa";"cena";"2015";;"zł";"";
0000000;"POLSKA";"luty";"podkoszulek męski bawełniany, bez rękawa";"cena";"2016";;"zł";"";
0000000;"POLSKA";"luty";"podkoszulek męski bawełniany, bez rękawa";"cena";"2017";;"zł";"";
0000000;"POLSKA";"luty";"podkoszulek męski bawełniany, bez rękawa";"cena";"2018";25,86;"zł";"";
0000000;"POLSKA";"luty";"podkoszulek męski bawełniany, bez rękawa";"cena";"2019";24,66;"zł";"";
0000000;"POLSKA";"luty";"półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2006";146,99;"zł";"";
0000000;"POLSKA";"luty";"półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2007";147,42;"zł";"";
0000000;"POLSKA";"luty";"półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2008";152,20;"zł";"";
0000000;"POLSKA";"luty";"półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2009";156,91;"zł";"";
0000000;"POLSKA";"luty";"półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2010";158,27;"zł";"";
0000000;"POLSKA";"luty";"półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2011";163,90;"zł";"";
0000000;"POLSKA";"luty";"półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2012";172,28;"zł";"";
0000000;"POLSKA";"luty";"półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2013";180,86;"zł";"";
